user_id,location,age,gender,interests,existing_communities,active_since
U001,"Austin, TX",39,Female,"['Art of Living', 'Brahma Kumaris', 'Forgiveness', 'Hatha Yoga', 'Kirtan', 'Qi Gong']","['Art of Living', 'Bhakti Center NYC', 'Brahma Kumaris']",2025-08-31
U002,"Portland, OR",32,Non-binary,"['Ashtanga Yoga', 'Bhakti', 'Catholic Church', 'Individual Therapy', 'Meditation', 'Self Realization', 'Somatic Healing', 'SoulCycle', 'Swimming']","['Ashtanga Community', 'Bhakti Marga', 'Local Church Community', 'Meditation Sangha', 'SoulCycle Community']",2024-08-11
U003,"Boston, MA",26,Male,"['Catholic Church', 'Mantra Meditation', 'Meditation', 'Mystical Experiences', 'Pilates']","['Local Church Community', 'Pilates Studio', 'Wellness Meetup', 'Zen Community']",2026-03-17
U004,"San Francisco, CA",27,Female,"['Ashtanga Yoga', 'Fasting', 'Meditation', 'Mystical Experiences', 'Qi Gong', 'Self Realization', 'SolidCore', 'Worship', 'Yoga Nidra']","['Ashtanga Community', 'Meditation Sangha', 'Online Spiritual Community', 'Yoga Studio Community']",2024-04-30
U005,"New York, NY",33,Female,"['Ashtanga Yoga', 'Catholic Church', 'Devotional Music', 'Kundalini Yoga', 'Qi Gong', 'Reflexology', 'Religious Teachings', 'Scriptural Study', 'SoulCycle', 'Volunteering']","['Ashtanga Community', 'Community Service Group', 'Kundalini Collective', 'Local Church Community', 'None yet', 'SoulCycle Community', 'Spiritual Book Club']",2024-10-02
U006,"Austin, TX",28,Non-binary,"['Art of Living', 'Boxing', 'Brahma Kumaris', 'Hot Yoga', 'Mystical Experiences', 'SolidCore', 'Volunteering']","['Art of Living', 'Brahma Kumaris', 'Community Service Group', 'CorePower Yoga']",2024-09-14
U007,"San Francisco, CA",50,Non-binary,"['Ashtanga Yoga', 'Breathwork', 'Chinmaya Mission', 'Devotional Music', 'Kirtan', 'Sleep Optimization']","['Ashtanga Community', 'Chinmaya Mission', 'Kirtan Circle', 'None yet', 'Wellness Meetup']",2024-07-19
U008,"Miami, FL",24,Female,"['Spiritual Talks', 'Vipassana', 'Vision Boarding', 'Zen Buddhism']",['Vipassana Group'],2025-08-31
U009,"New York, NY",31,Male,"['Chinmaya Mission', 'HIIT Training', 'Kundalini Yoga', 'Reiki', 'Scriptural Study']","['Chinmaya Mission', 'Energy Healing Circle', 'Kundalini Collective', 'Online Spiritual Community', 'Spiritual Book Club']",2024-10-04
U010,"Miami, FL",39,Male,"['Ashrams', 'HIIT Training', 'Mental Toughness', 'Pranayama', 'SolidCore', 'Tai Chi', 'Walking Meditation']",['Retreat Alumni Group'],2024-01-17
U011,"Seattle, WA",50,Female,"['Book Club', 'Chinmaya Mission', 'Conscious Parenting', 'Group Therapy', 'Individual Therapy', 'Vipassana']","['Chinmaya Mission', 'Vipassana Group']",2025-06-09
U012,"Seattle, WA",27,Male,"['Art of Living', 'Bhakti', 'Book Club', 'Forgiveness', 'Spiritual Talks']","['Art of Living', 'Bhakti Marga', 'None yet']",2025-02-11
U013,"Boston, MA",51,Male,"['Book Club', 'Boxing', 'Hot Yoga', 'Individual Therapy', 'Mantra Meditation', 'Scriptural Study', 'Selfless Service', 'Somatic Healing']","['CorePower Yoga', 'None yet', 'Spiritual Book Club']",2024-05-26
U014,"San Francisco, CA",34,Non-binary,"['Ashtanga Yoga', 'Breathwork', 'Journaling', 'Kindness Practice', 'Kirtan', 'Sound Meditation']","['Ashtanga Community', 'Breathwork Collective', 'Community Yoga Group', 'Kirtan Circle']",2026-03-07
U015,"Hoboken, NJ",46,Male,"['Somatic Healing', 'Sound Meditation', 'Strength Training']",['None yet'],2024-09-18
U016,"New York, NY",37,Female,"['Conscious Parenting', 'Hatha Yoga', 'Scriptural Study', 'Selfless Service', 'Swimming', 'Tai Chi', 'Vinyasa Yoga', 'Worship']","['Sky Ting Yoga', 'Spiritual Book Club']",2024-02-27
U017,"Austin, TX",54,Non-binary,"['Catholic Church', 'Group Therapy', 'SolidCore', 'Vinyasa Yoga', 'Vipassana', 'Walking Meditation']","['Community Yoga Group', 'Local Church Community', 'Sky Ting Yoga', 'Vipassana Group']",2025-05-06
U018,"Seattle, WA",52,Male,"['Ashtanga Yoga', 'Barry’s', 'Hatha Yoga', 'Kundalini Yoga', 'Religious Teachings', 'Scriptural Study', 'SoulCycle', 'Volunteering']","['Ashtanga Community', 'Barry’s Fitness Group', 'Community Service Group', 'Kundalini Collective', 'Online Spiritual Community', 'SoulCycle Community', 'Spiritual Book Club']",2024-01-29
U019,"Denver, CO",37,Male,"['Bhakti', 'Brahma Kumaris', 'Kundalini Yoga', 'Mantra Meditation', 'Meditation', 'Mystical Experiences', 'Sleep Optimization', 'Somatic Healing']","['Bhakti Center NYC', 'Brahma Kumaris', 'Kundalini Collective', 'Zen Community']",2024-04-26
U020,"Seattle, WA",30,Non-binary,"['Barry’s', 'Book Club', 'Group Therapy', 'Pranayama', 'Reflexology', 'Reiki', 'Silence (Mouna)', 'Sleep Optimization', 'SolidCore', 'Vision Boarding', 'Volunteering', 'Zen Buddhism']","['Barry’s Fitness Group', 'Community Service Group', 'Energy Healing Circle']",2026-04-09
U021,"San Francisco, CA",54,Non-binary,"['Ashtanga Yoga', 'Barry’s', 'Bhakti Marga', 'Boxing', 'Fasting', 'Mantra Meditation', 'Meditation', 'Reiki', 'Sleep Optimization', 'Zen Buddhism']","['Ashtanga Community', 'Barry’s Fitness Group', 'Energy Healing Circle', 'Meditation Sangha', 'None yet']",2025-02-12
U022,"Brooklyn, NY",32,Male,"['Gratitude Circles', 'Life Coaching', 'Nutrition', 'Pilates', 'Tea Meditation', 'Vision Boarding']",['Pilates Studio'],2024-03-12
U023,"Miami, FL",57,Female,"['Boxing', 'Chinmaya Mission', 'Mystical Experiences', 'Somatic Healing', 'Vision Boarding', 'Volunteering', 'Worship']","['Chinmaya Mission', 'Community Service Group']",2026-04-18
U024,"Seattle, WA",54,Non-binary,"['Barre', 'Forgiveness', 'Gratitude Circles', 'Pilates']",['Pilates Studio'],2026-03-21
U025,"Queens, NY",25,Male,"['Ashtanga Yoga', 'Breathwork', 'Mystical Experiences', 'Qi Gong', 'Strength Training', 'Volunteering']","['Ashtanga Community', 'Breathwork Collective', 'Community Service Group']",2025-01-05
U026,"Denver, CO",24,Male,"['Ashtanga Yoga', 'Catholic Church', 'Forgiveness', 'Mystical Experiences', 'Nutrition', 'Pilates', 'Sivananda', 'Vinyasa Yoga']","['Ashtanga Community', 'Local Church Community', 'Pilates Studio', 'Sivananda Center', 'Sky Ting Yoga', 'Wellness Meetup']",2024-05-27
U027,"Brooklyn, NY",40,Male,"['Individual Therapy', 'Mantra Meditation', 'Qi Gong', 'Sleep Optimization', 'Somatic Healing', 'Tai Chi']",['Online Spiritual Community'],2024-10-29
U028,"Boston, MA",30,Female,"['Ashtanga Yoga', 'Ayurveda', 'Fasting', 'Qi Gong', 'Somatic Healing', 'Tai Chi', 'Vinyasa Yoga', 'Yoga Nidra']","['Ashtanga Community', 'Ayurveda Wellness Circle', 'Sky Ting Yoga', 'Yoga Studio Community']",2024-05-14
U029,"San Francisco, CA",33,Non-binary,"['Breathwork', 'Chinmaya Mission', 'Conscious Parenting', 'Individual Therapy', 'Kindness Practice', 'Life Coaching', 'Tea Meditation', 'Vipassana']","['Breathwork Collective', 'Chinmaya Mission', 'Vipassana Group', 'Wellness Meetup']",2023-11-11
U030,"San Francisco, CA",52,Male,"['Book Club', 'Fasting', 'Forgiveness', 'Life Coaching', 'Sivananda', 'Vinyasa Yoga', 'Worship']","['Sivananda Center', 'Sky Ting Yoga']",2025-06-11
U031,"Denver, CO",32,Non-binary,"['Acupuncture', 'Bhakti', 'Bhakti Marga', 'Hot Yoga', 'Swimming']","['Bhakti Marga', 'Community Yoga Group', 'CorePower Yoga']",2024-08-09
U032,"San Francisco, CA",30,Male,"['Book Club', 'Brahma Kumaris', 'Forgiveness', 'Individual Therapy', 'Journaling', 'Meditation', 'Self Realization', 'Sivananda']","['Brahma Kumaris', 'Meditation Sangha', 'Sivananda Center']",2025-07-03
U033,"Los Angeles, CA",53,Male,"['Art of Living', 'Forgiveness', 'Selfless Service', 'Worship']",['Art of Living'],2025-05-28
U034,"Denver, CO",44,Female,"['Kindness Practice', 'Mental Toughness', 'SolidCore']",['Community Yoga Group'],2023-12-22
U035,"New York, NY",46,Male,"['Book Club', 'Individual Therapy', 'Jogging', 'Life Coaching', 'Qi Gong', 'Somatic Healing', 'Sound Meditation', 'Vision Boarding']",['Wellness Meetup'],2024-10-31
U036,"Chicago, IL",28,Male,"['Acupuncture', 'Art of Living', 'Barre', 'Group Therapy', 'Individual Therapy', 'Kundalini Yoga', 'Religious Teachings', 'Sivananda']","['Art of Living', 'Community Yoga Group', 'Kundalini Collective', 'Sivananda Center']",2026-01-12
U037,"Seattle, WA",32,Non-binary,"['Art of Living', 'Ashtanga Yoga', 'Chinmaya Mission', 'Forgiveness', 'Journaling', 'Mental Toughness', 'Sivananda', 'Sleep Optimization', 'Transcendental Meditation']","['Art of Living', 'Ashtanga Community', 'Chinmaya Mission', 'Sivananda Center', 'Wellness Meetup']",2025-07-31
U038,"Los Angeles, CA",50,Male,"['Acupuncture', 'Ashtanga Yoga', 'Barre', 'Breathwork', 'HIIT Training', 'Hatha Yoga']","['Ashtanga Community', 'Breathwork Collective', 'Online Spiritual Community']",2025-12-02
U039,"Jersey City, NJ",44,Female,"['Barre', 'Chinmaya Mission', 'Religious Teachings', 'Vinyasa Yoga']","['Chinmaya Mission', 'Sky Ting Yoga']",2025-07-03
U040,"Portland, OR",49,Male,"['Book Club', 'Breathwork', 'Kindness Practice', 'Mantra Meditation', 'Mental Toughness', 'Qi Gong', 'Vision Boarding', 'Yoga Nidra']","['Breathwork Collective', 'None yet', 'Yoga Studio Community']",2024-01-23
U041,"Miami, FL",48,Non-binary,"['Breathwork', 'Catholic Church', 'Chinmaya Mission', 'Conscious Parenting', 'Mystical Experiences', 'Silence (Mouna)', 'Vipassana']","['Chinmaya Mission', 'Local Church Community', 'Online Spiritual Community', 'Vipassana Group', 'Wellness Meetup']",2025-11-17
U042,"Chicago, IL",29,Non-binary,"['Breathwork', 'Chinmaya Mission', 'Fasting', 'Individual Therapy', 'SolidCore', 'SoulCycle', 'Tea Meditation', 'Yoga Nidra']","['Breathwork Collective', 'Chinmaya Mission', 'SoulCycle Community', 'Yoga Studio Community']",2024-08-15
