conversation_id,user_a_id,user_b_id,conversation_text,avg_response_times_minutes,message_count_a,message_count_b,conversation_days,avg_message_length,last_response_hours_ago,status
C0001,U044,U038,"[{""speaker"": ""A"", ""message"": ""What kind of practices are helping you lately?""}, {""speaker"": ""B"", ""message"": ""Trying to get back into meditation.""}, {""speaker"": ""A"", ""message"": ""Yeah I relate to that.""}, {""speaker"": ""B"", ""message"": ""Yeah I relate to that.""}, {""speaker"": ""A"", ""message"": ""Yeah I relate to that.""}, {""speaker"": ""B"", ""message"": ""What kind of practices are you into?""}, {""speaker"": ""A"", ""message"": ""What kind of practices are you into?""}]",2264.4,4,3,8,6.1,106,stalled
C0002,U049,U025,"[{""speaker"": ""A"", ""message"": ""What kind of practices are helping you lately?""}, {""speaker"": ""B"", ""message"": ""I got into meditation after feeling pretty burned out last year.""}, {""speaker"": ""A"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}, {""speaker"": ""B"", ""message"": ""For sure""}, {""speaker"": ""A"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}, {""speaker"": ""B"", ""message"": ""Yeah, I\u2019ve been wanting something that feels more intentional than just another meetup.""}, {""speaker"": ""A"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}, {""speaker"": ""B"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""A"", ""message"": ""That makes sense. A lot of social spaces feel pretty surface-level.""}, {""speaker"": ""B"", ""message"": ""I got into meditation after feeling pretty burned out last year.""}]",302.3,5,5,8,10.5,2,ready_for_event
C0003,U189,U093,"[{""speaker"": ""B"", ""message"": ""What kind of practices are helping you lately?""}, {""speaker"": ""A"", ""message"": ""Yeah, still figuring it out.""}, {""speaker"": ""B"", ""message"": ""I think community makes practice feel more real.""}, {""speaker"": ""B"", ""message"": ""Most of my friends aren\u2019t really into this kind of stuff.""}, {""speaker"": ""B"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""B"", ""message"": ""Same. I think finding aligned community is the hardest part.""}, {""speaker"": ""B"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}, {""speaker"": ""B"", ""message"": ""Most of my friends aren\u2019t really into this kind of stuff.""}, {""speaker"": ""B"", ""message"": ""Do you usually go to things like this?""}, {""speaker"": ""B"", ""message"": ""Same. I think finding aligned community is the hardest part.""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}]",316.7,1,10,10,9.5,36,one_sided
C0004,U188,U039,"[{""speaker"": ""A"", ""message"": ""What kind of practices are helping you lately?""}, {""speaker"": ""B"", ""message"": ""Yeah, still figuring it out.""}, {""speaker"": ""A"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}, {""speaker"": ""A"", ""message"": ""I think community makes practice feel more real.""}, {""speaker"": ""A"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}, {""speaker"": ""A"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""A"", ""message"": ""Do you usually go to things like this?""}, {""speaker"": ""A"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}, {""speaker"": ""A"", ""message"": ""Same. I think finding aligned community is the hardest part.""}]",301.8,9,1,14,9.7,36,one_sided
C0005,U037,U107,"[{""speaker"": ""A"", ""message"": ""Any plans this weekend?""}, {""speaker"": ""B"", ""message"": ""Love that""}, {""speaker"": ""A"", ""message"": ""Hey!""}, {""speaker"": ""B"", ""message"": ""How\u2019s your week going?""}, {""speaker"": ""A"", ""message"": ""Hey haha""}, {""speaker"": ""B"", ""message"": ""Hey!""}, {""speaker"": ""A"", ""message"": ""Same""}, {""speaker"": ""B"", ""message"": ""Same""}, {""speaker"": ""A"", ""message"": ""Any plans this weekend?""}]",2421.8,5,4,3,2.2,17,shallow
C0006,U029,U110,"[{""speaker"": ""A"", ""message"": ""Are you looking more for events, community, or personal practice right now?""}, {""speaker"": ""B"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""A"", ""message"": ""For sure""}, {""speaker"": ""B"", ""message"": ""Totally""}, {""speaker"": ""A"", ""message"": ""Honestly I\u2019ve been craving more grounded community lately.""}, {""speaker"": ""B"", ""message"": ""Yeah""}, {""speaker"": ""A"", ""message"": ""Yeah""}, {""speaker"": ""B"", ""message"": ""Cool""}, {""speaker"": ""A"", ""message"": ""Love that""}, {""speaker"": ""B"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""I got into meditation after feeling pretty burned out last year.""}, {""speaker"": ""B"", ""message"": ""That makes sense. A lot of social spaces feel pretty surface-level.""}, {""speaker"": ""A"", ""message"": ""Yeah""}, {""speaker"": ""B"", ""message"": ""Haha same""}, {""speaker"": ""A"", ""message"": ""Same. I think finding aligned community is the hardest part.""}, {""speaker"": ""B"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}, {""speaker"": ""A"", ""message"": ""Totally""}]",353.0,9,8,9,5.8,5,ready_for_event
C0007,U117,U094,"[{""speaker"": ""A"", ""message"": ""Hey!""}, {""speaker"": ""B"", ""message"": ""Yeah totally""}, {""speaker"": ""A"", ""message"": ""Yeah totally""}, {""speaker"": ""B"", ""message"": ""Not really haha""}, {""speaker"": ""A"", ""message"": ""How\u2019s your week going?""}, {""speaker"": ""B"", ""message"": ""Any plans this weekend?""}, {""speaker"": ""A"", ""message"": ""Busy honestly""}, {""speaker"": ""B"", ""message"": ""Nice""}, {""speaker"": ""A"", ""message"": ""How\u2019s your week going?""}, {""speaker"": ""B"", ""message"": ""Yeah totally""}]",2287.2,5,5,8,2.5,15,shallow
C0008,U200,U107,"[{""speaker"": ""A"", ""message"": ""What kind of practices are helping you lately?""}, {""speaker"": ""B"", ""message"": ""I\u2019ve been wanting more community honestly.""}, {""speaker"": ""A"", ""message"": ""That makes sense.""}, {""speaker"": ""B"", ""message"": ""Sorry just saw this.""}, {""speaker"": ""A"", ""message"": ""What kind of practices are you into?""}]",2761.6,3,2,1,5.6,153,stalled
C0009,U014,U151,"[{""speaker"": ""A"", ""message"": ""Are you looking more for events, community, or personal practice right now?""}, {""speaker"": ""B"", ""message"": ""Just exploring a bit.""}, {""speaker"": ""A"", ""message"": ""I feel like I\u2019ve been searching for deeper connection.""}, {""speaker"": ""A"", ""message"": ""Honestly I\u2019ve been craving more grounded community lately.""}, {""speaker"": ""B"", ""message"": ""Totally""}, {""speaker"": ""A"", ""message"": ""Yeah, I\u2019ve been wanting something that feels more intentional than just another meetup.""}, {""speaker"": ""A"", ""message"": ""Mostly journaling, breathwork, and trying to be more present.""}, {""speaker"": ""A"", ""message"": ""I\u2019ve been wanting to meet more intentional people honestly.""}, {""speaker"": ""A"", ""message"": ""Do you usually go to things like this?""}, {""speaker"": ""A"", ""message"": ""I\u2019ve been wanting to meet people who care about inner growth.""}, {""speaker"": ""A"", ""message"": ""Same. I think finding aligned community is the hardest part.""}, {""speaker"": ""A"", ""message"": ""I relate to that. It\u2019s easy to practice alone, but harder to stay consistent without support.""}, {""speaker"": ""A"", ""message"": ""I\u2019m trying to spend less time online and more time in real community.""}, {""speaker"": ""A"", ""message"": ""That\u2019s beautiful. I\u2019ve been realizing how much environment affects my practice.""}, {""speaker"": ""A"", ""message"": ""That makes sense. A lot of social spaces feel pretty surface-level.""}, {""speaker"": ""A"", ""message"": ""Same. I think finding aligned community is the hardest part.""}]",381.2,14,2,9,9.7,2,one_sided
C0010,U130,U180,"[{""speaker"": ""A"", ""message"": ""What kind of practices are helping you lately?""}, {""speaker"": ""B"", ""message"": ""I\u2019ve been wanting more community honestly.""}, {""speaker"": ""A"", ""message"": ""Sorry just saw this.""}, {""speaker"": ""B"", ""message"": ""What kind of practices are you into?""}]",1572.5,2,2,8,6.2,58,stalled
